name,ssp_range,year_range,p0.05,p0.50,p0.95
Guyana,SSP2-4.5,2040-2059,79.97,80.53,81.52
Guyana,SSP2-4.5,2080-2099,80.75,81.59,82.89
Hong Kong,SSP2-4.5,1986-2005,82.24,82.55,82.81
Hong Kong,SSP2-4.5,2020-2039,83.35,83.80,84.35
Hong Kong,SSP2-4.5,2040-2059,84.15,84.56,85.53
Hong Kong,SSP2-4.5,2080-2099,84.85,85.58,86.63
Heard Island and McDonald Islands,SSP2-4.5,1986-2005,32.64,32.80,33.34
Heard Island and McDonald Islands,SSP2-4.5,2020-2039,33.02,33.78,34.51
Heard Island and McDonald Islands,SSP2-4.5,2040-2059,33.23,34.08,35.03
Heard Island and McDonald Islands,SSP2-4.5,2080-2099,34.37,35.06,36.10
Honduras,SSP2-4.5,1986-2005,76.25,76.64,77.03
Honduras,SSP2-4.5,2020-2039,77.68,78.39,79.12
Honduras,SSP2-4.5,2040-2059,78.08,79.17,79.99
Honduras,SSP2-4.5,2080-2099,78.98,80.44,82.14
Croatia,SSP2-4.5,1986-2005,69.38,69.94,70.69
Croatia,SSP2-4.5,2020-2039,72.54,73.20,74.32
Croatia,SSP2-4.5,2040-2059,73.10,74.47,76.38
Croatia,SSP2-4.5,2080-2099,73.73,76.07,78.80
Haiti,SSP2-4.5,1986-2005,79.96,80.38,80.59
Haiti,SSP2-4.5,2020-2039,81.50,81.83,82.52
Haiti,SSP2-4.5,2040-2059,82.01,82.62,83.52
Haiti,SSP2-4.5,2080-2099,82.54,83.75,85.40
Hungary,SSP2-4.5,1986-2005,67.90,68.32,69.26
Hungary,SSP2-4.5,2020-2039,70.95,71.75,72.51
Hungary,SSP2-4.5,2040-2059,71.60,72.93,75.25
Hungary,SSP2-4.5,2080-2099,71.93,74.43,77.12
Indonesia,SSP2-4.5,1986-2005,77.59,77.88,78.01
Indonesia,SSP2-4.5,2020-2039,78.85,79.12,79.44
Indonesia,SSP2-4.5,2040-2059,79.43,79.77,80.42
Indonesia,SSP2-4.5,2080-2099,79.98,80.80,81.85
Isle of Man,SSP2-4.5,1986-2005,55.53,56.17,56.73
Isle of Man,SSP2-4.5,2020-2039,56.33,57.90,59.30
Isle of Man,SSP2-4.5,2040-2059,57.41,58.34,60.29
Isle of Man,SSP2-4.5,2080-2099,57.00,59.28,61.59
India,SSP2-4.5,1986-2005,79.87,80.30,80.53
India,SSP2-4.5,2020-2039,80.88,81.23,81.84
India,SSP2-4.5,2040-2059,81.57,81.91,82.86
India,SSP2-4.5,2080-2099,82.26,83.25,84.09
British Indian Ocean Territory,SSP2-4.5,1986-2005,78.10,78.25,78.51
British Indian Ocean Territory,SSP2-4.5,2020-2039,79.13,79.40,79.85
British Indian Ocean Territory,SSP2-4.5,2040-2059,79.45,79.97,80.69
British Indian Ocean Territory,SSP2-4.5,2080-2099,79.92,80.80,81.96
Ireland,SSP2-4.5,1986-2005,56.87,57.59,58.06
Ireland,SSP2-4.5,2020-2039,57.50,59.03,60.61
Ireland,SSP2-4.5,2040-2059,58.29,59.52,61.55
Ireland,SSP2-4.5,2080-2099,58.12,60.45,62.69
