country,date,sector,MtCO2 per day
Brazil,08/01/2023,International Aviation,0.0169046
Brazil,08/01/2023,Power,0.11624
Brazil,08/01/2023,Residential,0.0984519
China,08/01/2023,Domestic Aviation,0.14966
China,08/01/2023,Ground Transport,2.54831
China,08/01/2023,Industry,12.3354
China,08/01/2023,International Aviation,0.0205205
China,08/01/2023,Power,16.1992
China,08/01/2023,Residential,3.06532
EU27 & UK,08/01/2023,Domestic Aviation,0.0362699
EU27 & UK,08/01/2023,Ground Transport,1.87309
EU27 & UK,08/01/2023,Industry,1.06227
EU27 & UK,08/01/2023,International Aviation,0.431589
EU27 & UK,08/01/2023,Power,1.4452
EU27 & UK,08/01/2023,Residential,2.29547
France,08/01/2023,Domestic Aviation,0.00372574
France,08/01/2023,Ground Transport,0.272474
France,08/01/2023,Industry,0.0779474
France,08/01/2023,International Aviation,0.0514573
France,08/01/2023,Power,0.0508467
France,08/01/2023,Residential,0.267705
Germany,08/01/2023,Domestic Aviation,0.00231976
Germany,08/01/2023,Ground Transport,0.303232
Germany,08/01/2023,Industry,0.144024
Germany,08/01/2023,International Aviation,0.0636369
Germany,08/01/2023,Power,0.332517
Germany,08/01/2023,Residential,0.502484
India,08/01/2023,Domestic Aviation,0.0193367
India,08/01/2023,Ground Transport,0.754378
India,08/01/2023,Industry,2.25582
India,08/01/2023,International Aviation,0.0364737
India,08/01/2023,Power,4.31221
India,08/01/2023,Residential,2.28016
Italy,08/01/2023,Domestic Aviation,0.0050205
Italy,08/01/2023,Ground Transport,0.192703
Italy,08/01/2023,Industry,0.0870946
Italy,08/01/2023,International Aviation,0.0312704
Italy,08/01/2023,Power,0.170381
Italy,08/01/2023,Residential,0.291717
Japan,08/01/2023,Domestic Aviation,0.0262151
Japan,08/01/2023,Ground Transport,0.468855
Japan,08/01/2023,Industry,0.51706
Japan,08/01/2023,International Aviation,0.0334151
Japan,08/01/2023,Power,1.37819
